"","ID","Description","DEGs_in_gs","DEGs_total","gs_size","background","pvalue","p.adjust","qvalue","geneID","gene_ratio","bg_ratio"
"1","GO:0030334","regulation of cell migration",13,59,892,23210,2.87385100394808e-07,0.000523048605097913,0.000379876784266097,"Ace/Adarb1/Akap12/Col18a1/Dab2/Fn1/Igfbp3/Itga3/Itgb3/Jcad/Lgals3/Plxna2/Ptgs2",0.220338983050847,0.0384317104696252
"2","GO:2000145","regulation of cell motility",13,59,939,23210,5.14811619190859e-07,0.000523048605097913,0.000379876784266097,"Ace/Adarb1/Akap12/Col18a1/Dab2/Fn1/Igfbp3/Itga3/Itgb3/Jcad/Lgals3/Plxna2/Ptgs2",0.220338983050847,0.0404566996984059
"3","GO:0030155","regulation of cell adhesion",11,59,686,23210,1.06851116562642e-06,0.000542803672138222,0.00039422438268638,"Col8a1/Cyth2/Dab2/Fn1/Itga3/Itgb3/Jam2/Lgals3/Pde3b/Plxna2/Tgm2",0.186440677966102,0.0295562257647566
"4","GO:0008284","positive regulation of cell proliferation",12,59,972,23210,4.93806240865722e-06,0.0012558199749172,0.000912069832591129,"Agap2/Bcl2l1/Col18a1/Dnmt1/Ednrb/Fn1/Itgb3/Jcad/Lgals3/Ptgs2/Tgm2/Tsc22d1",0.203389830508475,0.0418785006462732
"5","GO:0030198","extracellular matrix organization",7,59,271,23210,5.56219477079469e-06,0.0012558199749172,0.000912069832591129,"Col18a1/Col8a1/Fbln5/Fn1/Itgb3/Lgals3/Pxdn",0.11864406779661,0.0116760017233951
"6","GO:0007588","excretion",4,59,56,23210,1.25300223331244e-05,0.00181864324149348,0.00132083393316093,"Ace/Dab2/Ednrb/Kirrel",0.0677966101694915,0.0024127531236536
"7","GO:0043069","negative regulation of programmed cell death",11,59,939,23210,2.11463438148582e-05,0.00214846853158959,0.00156037758044375,"Agap2/Bcl2l1/Dab2/Dnmt1/Ednrb/Fn1/Glrx/Hells/Lgals3/Ptgs2/Tsc22d1",0.186440677966102,0.0404566996984059
"8","GO:0007044","cell-substrate junction assembly",4,59,86,23210,6.84467735505107e-05,0.00496728013766563,0.00360760813976752,"Fn1/Itgb3/Itgb4/Tns1",0.0677966101694915,0.0037052994398966
"9","GO:0007229","integrin-mediated signaling pathway",4,59,89,23210,7.8253753809967e-05,0.00548315957730528,0.00398227814306983,"Dab2/Itga3/Itgb3/Itgb4",0.0677966101694915,0.0038345540715209
"10","GO:0017144","drug metabolic process",9,59,727,23210,8.54602993143381e-05,0.00561424388332496,0.00407748131186366,"Ace/Bcl2l1/Btd/Dnmt1/Pde2a/Pgk2/Ptgs2/Pxdn/Sdhd",0.152542372881356,0.0313227057302887
"11","GO:1905475","regulation of protein localization to membrane",5,59,186,23210,0.0001104218179769,0.00659932747438416,0.00479292225398186,"Bcl2l1/Dab2/Itga3/Lgals3/Stom",0.0847457627118644,0.00801378716070659
"12","GO:0006953","acute-phase response",3,59,41,23210,0.000155273217034665,0.00830303097406421,0.00603027840118008,"Ednrb/Fn1/Ptgs2",0.0508474576271186,0.0017664799655321
"13","GO:0003018","vascular process in circulatory system",5,59,203,23210,0.000166220028978249,0.00866048971496928,0.00628989151491242,"Ace/Akap12/Ednrb/Pde2a/Ptgs2",0.0847457627118644,0.00874623007324429
"14","GO:0048483","autonomic nervous system development",3,59,48,23210,0.000248769981140204,0.0108366954258203,0.00787041389711979,"Adarb1/Ednrb/Fn1",0.0508474576271186,0.0020680741059888
"15","GO:0062012","regulation of small molecule metabolic process",6,59,359,23210,0.000296611650746011,0.0118179387120763,0.00858306572437373,"Bcl2l1/Dab2/Igfbp3/Pde2a/Pgk2/Ptgs2",0.101694915254237,0.0154674709177079
"16","GO:0010817","regulation of hormone levels",7,59,557,23210,0.000511382110096979,0.0164941023447152,0.0119792434144689,"Ace/Dab2/Glrx/Hsd17b4/Igfbp3/Pde3b/Rbp1",0.11864406779661,0.0239982766049117
"17","GO:0062013","positive regulation of small molecule metabolic process",4,59,155,23210,0.000654480926076754,0.0188255752074748,0.0136725323460835,"Bcl2l1/Dab2/Pgk2/Ptgs2",0.0677966101694915,0.00667815596725549
"18","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",3,59,74,23210,0.000889688530039951,0.0244303661221781,0.0177431482093316,"Akap12/Itgb3/Pde2a",0.0508474576271186,0.0031882809133994
"19","GO:0044403","symbiont process",5,59,343,23210,0.00178323616816894,0.0384077254869984,0.0278945457587918,"Adarb1/Bcl2l1/Fn1/Itgb3/Stom",0.0847457627118644,0.0147781128823783
"20","GO:0018126","protein hydroxylation",2,59,25,23210,0.00183540643664881,0.0384077254869984,0.0278945457587918,"Asph/P4ha2",0.0338983050847458,0.0010771219302025
"21","GO:0001655","urogenital system development",5,59,346,23210,0.00185234109140051,0.0384077254869984,0.0278945457587918,"Ace/Hells/Itga3/Itgb3/Itgb4",0.0847457627118644,0.0149073675140026
"22","GO:1905477","positive regulation of protein localization to membrane",3,59,102,23210,0.00224084194519174,0.04177422782229,0.030339550044991,"Itga3/Lgals3/Stom",0.0508474576271186,0.0043946574752262
"23","GO:0097756","negative regulation of blood vessel diameter",3,59,107,23210,0.0025672658362126,0.0425706696582571,0.0309179853195589,"Ace/Ednrb/Ptgs2",0.0508474576271186,0.0046100818612667
"24","GO:1905476","negative regulation of protein localization to membrane",2,59,31,23210,0.00281716839704476,0.0440345090984227,0.031981134353496,"Bcl2l1/Dab2",0.0338983050847458,0.0013356311934511
